"output.ID" "output.chrom" "output.loc.start" "output.loc.end" "output.num.mark" "output.seg.mean"
"50" "testSample" "chr15" 5680000 13270000 620 -0.399
"51" "testSample" "chr15" 13280000 13400000 12 0.4305
"52" "testSample" "chr15" 13410000 19800000 605 -0.4588
"53" "testSample" "chr15" 19810000 19930000 12 0.3518
"54" "testSample" "chr15" 19940000 20300000 36 -0.5019
"55" "testSample" "chr16" 0 22050000 1825 -0.3928
"56" "testSample" "chr16_random" 10000 730000 54 -0.0731
"57" "testSample" "chr17" 0 17120000 1547 -0.4823
"58" "testSample" "chr17_random" 30000 8e+05 57 -0.4512
"59" "testSample" "chr18" 0 1810000 180 -0.5506
"60" "testSample" "chr18" 1820000 1830000 2 0.3573
"61" "testSample" "chr18" 1840000 9690000 773 -0.5693
"62" "testSample" "chr18" 9700000 9740000 5 0.2246
"63" "testSample" "chr18" 9750000 12620000 284 -0.5722
"64" "testSample" "chr18" 12630000 12640000 2 0.8561
"65" "testSample" "chr18" 12650000 14490000 170 -0.5138
"66" "testSample" "chr18" 14560000 15370000 17 0.7591
"67" "testSample" "chr18" 15390000 16300000 56 -0.3924
"68" "testSample" "chr18" 16310000 17130000 4 0.9858
"69" "testSample" "chr18" 17140000 29350000 1084 -0.4488
"70" "testSample" "chr18_random" 10000 5150000 428 -0.3317
"71" "testSample" "chr19" 0 3940000 380 -0.5506
"72" "testSample" "chr19" 3950000 4080000 10 0.6272
"73" "testSample" "chr19" 4090000 4330000 21 -0.5937
"74" "testSample" "chr19" 4350000 4380000 3 0.813
"75" "testSample" "chr19" 4400000 5080000 65 -0.4434
"76" "testSample" "chr19" 5090000 5120000 4 0.8024
"77" "testSample" "chr19" 5130000 8810000 355 -0.4975
"78" "testSample" "chr19" 8820000 8840000 3 0.6748
"79" "testSample" "chr19" 8860000 12250000 289 -0.5127
"80" "testSample" "chr19" 12260000 12570000 23 0.5045
"81" "testSample" "chr19" 12580000 24010000 958 -0.3846
"82" "testSample" "chr1_random" 20000 560000 31 -0.2805
"83" "testSample" "chr2" 0 18770000 1635 -0.4879
"84" "testSample" "chr3" 0 19330000 1669 -0.4484
"85" "testSample" "chr3_random" 0 630000 47 -0.3517
"86" "testSample" "chr3_random" 640000 660000 3 0.9521
"87" "testSample" "chr3_random" 670000 1200000 44 -0.3715
"88" "testSample" "chr4" 0 11500000 1068 -0.492
"89" "testSample" "chr4" 11510000 11590000 5 0.8263
"90" "testSample" "chr4" 11610000 13010000 96 -0.3375
"91" "testSample" "chr4" 13020000 13160000 10 0.5797
"92" "testSample" "chr4" 13190000 16270000 266 -0.4165
"93" "testSample" "chr4" 16280000 16290000 2 0.8177
"94" "testSample" "chr4" 16300000 19920000 347 -0.5226
"95" "testSample" "chr4" 19930000 19940000 2 1.3205
"96" "testSample" "chr4" 19960000 23860000 376 -0.5501
"97" "testSample" "chr4_random" 0 70000 8 -0.7402
"98" "testSample" "chr5" 0 21350000 1892 -0.4795
"99" "testSample" "chr5" 21370000 21470000 11 0.7951
"100" "testSample" "chr5" 21480000 24990000 340 -0.4254
"101" "testSample" "chr5_random" 0 360000 33 -0.3404
"102" "testSample" "chr6" 0 21500000 1957 -0.3456
"103" "testSample" "chr7" 0 14600000 1324 -0.5126
"104" "testSample" "chr7" 14610000 14780000 16 0.4525
"105" "testSample" "chr7" 14790000 21020000 610 -0.5066
"106" "testSample" "chr7_random" 0 1440000 130 -0.2641
"107" "testSample" "chr8" 0 15270000 1339 -0.4937
"108" "testSample" "chr8" 15280000 15300000 3 0.3479
"109" "testSample" "chr8" 15310000 22380000 702 -0.572
"110" "testSample" "chr9" 0 3460000 334 -0.535
"111" "testSample" "chr9" 3470000 3570000 11 -1.4105
"112" "testSample" "chr9" 3580000 2.3e+07 1734 -0.4541
"113" "testSample" "chr9_random" 0 480000 40 -0.0609
"114" "testSample" "chrUn" 10000 4950000 228 -0.3628
"115" "testSample" "chrUn" 4960000 5420000 32 0.4141
"116" "testSample" "chrUn" 5430000 5480000 5 1.1227
"117" "testSample" "chrUn" 5490000 10120000 315 -0.3059
"118" "testSample" "chrUn" 10170000 10230000 7 0.4892
"119" "testSample" "chrUn" 10240000 14330000 331 -0.3568
"120" "testSample" "chrUn" 14340000 14540000 13 0.4165
"121" "testSample" "chrUn" 14550000 23830000 748 -0.377
"122" "testSample" "chrUn" 23840000 2.4e+07 12 0.5546
"123" "testSample" "chrUn" 24010000 43140000 1487 -0.2408
