"output.ID" "output.chrom" "output.loc.start" "output.loc.end" "output.num.mark" "output.seg.mean"
"50" "testSample" "chr12" 18320000 18440000 12 -0.0534
"51" "testSample" "chr12" 18450000 18690000 24 -0.6416
"52" "testSample" "chr12" 18700000 18770000 6 0.3725
"53" "testSample" "chr12" 18780000 21330000 230 -0.4379
"54" "testSample" "chr12" 21350000 21780000 33 -0.0593
"55" "testSample" "chr12" 21790000 22690000 89 -0.5982
"56" "testSample" "chr12_random" 0 1290000 120 -0.4117
"57" "testSample" "chr12_random" 1310000 1470000 9 0.3079
"58" "testSample" "chr13" 0 4020000 397 -0.7476
"59" "testSample" "chr13" 4030000 4190000 16 -0.2235
"60" "testSample" "chr13" 4200000 7080000 282 -0.6883
"61" "testSample" "chr13" 7090000 9420000 211 -0.5448
"62" "testSample" "chr13" 9430000 9510000 7 0.45
"63" "testSample" "chr13" 9530000 11710000 158 -0.4386
"64" "testSample" "chr13" 11740000 12270000 37 0.2548
"65" "testSample" "chr13" 12290000 13890000 125 -0.2585
"66" "testSample" "chr13" 13900000 14150000 16 0.2804
"67" "testSample" "chr13" 14170000 19160000 443 -0.3557
"68" "testSample" "chr13" 19170000 19250000 9 0.2766
"69" "testSample" "chr13" 19260000 20170000 82 -0.3703
"70" "testSample" "chr13" 20190000 20310000 10 1.1082
"71" "testSample" "chr13" 20320000 21810000 140 -0.2423
"72" "testSample" "chr13" 21820000 22110000 29 -0.6833
"73" "testSample" "chr13" 22120000 22260000 12 0.4738
"74" "testSample" "chr13" 22270000 24390000 204 -0.3466
"75" "testSample" "chr13_random" 0 2e+05 18 -0.1293
"76" "testSample" "chr13_random" 210000 590000 31 -0.4843
"77" "testSample" "chr13_random" 6e+05 810000 19 -0.8889
"78" "testSample" "chr13_random" 820000 1830000 99 -0.4376
"79" "testSample" "chr13_random" 1840000 3260000 124 -0.2011
"80" "testSample" "chr14" 0 2240000 208 -0.3992
"81" "testSample" "chr14" 2250000 2430000 11 0.205
"82" "testSample" "chr14" 2450000 3620000 112 -0.3638
"83" "testSample" "chr14" 3630000 3890000 22 0.7303
"84" "testSample" "chr14" 3910000 4630000 68 -0.2893
"85" "testSample" "chr14" 4640000 4710000 8 0.4121
"86" "testSample" "chr14" 4720000 4870000 14 -0.3445
"87" "testSample" "chr14" 4880000 5050000 15 -0.5902
"88" "testSample" "chr14" 5060000 5090000 4 -0.145
"89" "testSample" "chr14" 5100000 5210000 11 0.4693
"90" "testSample" "chr14" 5220000 5310000 9 -0.3737
"91" "testSample" "chr14" 5320000 5350000 4 0.6659
"92" "testSample" "chr14" 5360000 5560000 19 -0.4383
"93" "testSample" "chr14" 5570000 5720000 13 0.1912
"94" "testSample" "chr14" 5730000 7010000 123 -0.3731
"95" "testSample" "chr14" 7020000 7070000 5 1.102
"96" "testSample" "chr14" 7100000 18620000 922 -0.2693
"97" "testSample" "chr14" 18630000 18720000 7 0.7349
"98" "testSample" "chr14" 18760000 20490000 158 -0.1708
"99" "testSample" "chr14" 20500000 25800000 515 -0.3864
"100" "testSample" "chr14" 25810000 25860000 5 0.3779
"101" "testSample" "chr14" 25870000 30260000 432 -0.4376
"102" "testSample" "chr15" 0 1400000 118 -0.4612
"103" "testSample" "chr15" 1410000 1460000 6 0.8604
"104" "testSample" "chr15" 1470000 2180000 63 -0.4209
"105" "testSample" "chr15" 2190000 2850000 53 0.0578
"106" "testSample" "chr15" 2860000 3590000 70 -0.5056
"107" "testSample" "chr15" 3600000 3900000 29 0.1853
"108" "testSample" "chr15" 3910000 3930000 3 -0.9222
"109" "testSample" "chr15" 3940000 4430000 43 0.2397
"110" "testSample" "chr15" 4450000 4550000 6 -0.3179
"111" "testSample" "chr15" 4560000 4700000 12 -1.1763
"112" "testSample" "chr15" 4710000 5280000 32 -0.0909
"113" "testSample" "chr15" 5290000 5590000 28 -0.5448
"114" "testSample" "chr15" 5600000 5670000 6 0.5601
"115" "testSample" "chr15" 5680000 7480000 132 -0.3956
"116" "testSample" "chr15" 7490000 8020000 20 0.0617
"117" "testSample" "chr15" 8030000 13270000 468 -0.4197
"118" "testSample" "chr15" 13280000 13400000 12 0.4305
"119" "testSample" "chr15" 13410000 13840000 44 -0.5453
"120" "testSample" "chr15" 13850000 14280000 30 0.2919
"121" "testSample" "chr15" 14290000 17510000 315 -0.5516
"122" "testSample" "chr15" 17530000 17960000 38 0.0752
"123" "testSample" "chr15" 17970000 19440000 145 -0.5286
"124" "testSample" "chr15" 19450000 19520000 5 -0.0276
"125" "testSample" "chr15" 19530000 19800000 28 -0.5229
"126" "testSample" "chr15" 19810000 19930000 12 0.3518
"127" "testSample" "chr15" 19940000 20300000 36 -0.5019
"128" "testSample" "chr16" 0 6670000 580 -0.4253
"129" "testSample" "chr16" 6680000 7050000 29 0.0389
"130" "testSample" "chr16" 7060000 7260000 15 -0.4571
"131" "testSample" "chr16" 7300000 7960000 39 0.1392
"132" "testSample" "chr16" 7980000 8370000 37 -0.5792
"133" "testSample" "chr16" 8380000 8470000 9 -0.2256
"134" "testSample" "chr16" 8480000 8710000 15 0.177
"135" "testSample" "chr16" 8720000 11590000 194 -0.4013
"136" "testSample" "chr16" 11600000 11850000 20 0.0136
"137" "testSample" "chr16" 11860000 15090000 285 -0.3968
"138" "testSample" "chr16" 15140000 15470000 23 0.0305
"139" "testSample" "chr16" 15480000 17070000 149 -0.396
"140" "testSample" "chr16" 17080000 17190000 11 0.2319
"141" "testSample" "chr16" 17200000 18550000 132 -0.4077
"142" "testSample" "chr16" 18560000 22050000 287 -0.5185
"143" "testSample" "chr16_random" 10000 730000 54 -0.0731
"144" "testSample" "chr17" 0 12560000 1202 -0.5266
"145" "testSample" "chr17" 12570000 15950000 245 -0.2823
"146" "testSample" "chr17" 15960000 17070000 95 -0.4705
"147" "testSample" "chr17" 17080000 17120000 5 0.1523
"148" "testSample" "chr17_random" 30000 1e+05 5 -0.0174
"149" "testSample" "chr17_random" 110000 3e+05 14 -0.9334
"150" "testSample" "chr17_random" 320000 8e+05 38 -0.3307
"151" "testSample" "chr18" 0 1810000 180 -0.5506
"152" "testSample" "chr18" 1820000 1830000 2 0.3573
"153" "testSample" "chr18" 1840000 8100000 617 -0.5908
"154" "testSample" "chr18" 8110000 8260000 16 -0.1318
"155" "testSample" "chr18" 8270000 8520000 26 -0.5283
"156" "testSample" "chr18" 8530000 8550000 3 0.0552
"157" "testSample" "chr18" 8560000 9110000 54 -0.5377
"158" "testSample" "chr18" 9120000 9160000 4 0.1196
"159" "testSample" "chr18" 9170000 9690000 53 -0.5908
"160" "testSample" "chr18" 9700000 9740000 5 0.2246
"161" "testSample" "chr18" 9750000 12620000 284 -0.5722
"162" "testSample" "chr18" 12630000 12640000 2 0.8561
"163" "testSample" "chr18" 12650000 13890000 120 -0.5051
"164" "testSample" "chr18" 13900000 13950000 6 -1.0731
"165" "testSample" "chr18" 13960000 14490000 44 -0.4612
"166" "testSample" "chr18" 14560000 15370000 17 0.7591
"167" "testSample" "chr18" 15390000 16300000 56 -0.3924
"168" "testSample" "chr18" 16310000 17130000 4 0.9858
"169" "testSample" "chr18" 17140000 22190000 443 -0.4608
"170" "testSample" "chr18" 22200000 22860000 60 -0.1748
"171" "testSample" "chr18" 22870000 2.3e+07 10 -0.8592
"172" "testSample" "chr18" 23010000 23080000 8 1e-04
"173" "testSample" "chr18" 23090000 23610000 50 -0.5554
"174" "testSample" "chr18" 23620000 24290000 63 -0.1576
"175" "testSample" "chr18" 24310000 24770000 45 -0.5705
"176" "testSample" "chr18" 24780000 25160000 37 -0.2499
"177" "testSample" "chr18" 25170000 26360000 98 -0.6275
"178" "testSample" "chr18" 26370000 26410000 5 0.2853
"179" "testSample" "chr18" 26420000 27310000 75 -0.6042
"180" "testSample" "chr18" 27320000 27820000 46 -0.2384
"181" "testSample" "chr18" 27830000 28280000 45 -0.5986
"182" "testSample" "chr18" 28290000 28360000 8 0.2878
"183" "testSample" "chr18" 28370000 29350000 91 -0.5454
"184" "testSample" "chr18_random" 10000 5150000 428 -0.3317
"185" "testSample" "chr19" 0 2080000 202 -0.6142
"186" "testSample" "chr19" 2090000 3360000 124 -0.4388
"187" "testSample" "chr19" 3370000 3940000 54 -0.5695
"188" "testSample" "chr19" 3950000 4080000 10 0.6272
"189" "testSample" "chr19" 4090000 4330000 21 -0.5937
"190" "testSample" "chr19" 4350000 4380000 3 0.813
"191" "testSample" "chr19" 4400000 5080000 65 -0.4434
"192" "testSample" "chr19" 5090000 5120000 4 0.8024
"193" "testSample" "chr19" 5130000 8810000 355 -0.4975
"194" "testSample" "chr19" 8820000 8840000 3 0.6748
"195" "testSample" "chr19" 8860000 11570000 242 -0.4428
"196" "testSample" "chr19" 11630000 12250000 47 -0.8729
"197" "testSample" "chr19" 12260000 12570000 23 0.5045
"198" "testSample" "chr19" 12580000 13930000 105 0.0498
"199" "testSample" "chr19" 13940000 15080000 94 -0.4168
"200" "testSample" "chr19" 15090000 15220000 14 0.2767
"201" "testSample" "chr19" 15260000 18060000 210 -0.4618
"202" "testSample" "chr19" 18070000 18240000 15 0.1025
"203" "testSample" "chr19" 18250000 21960000 322 -0.4999
"204" "testSample" "chr19" 21970000 22050000 9 0.3131
"205" "testSample" "chr19" 22060000 24010000 189 -0.4487
"206" "testSample" "chr1_random" 20000 560000 31 -0.2805
"207" "testSample" "chr2" 0 3300000 327 -0.5485
"208" "testSample" "chr2" 3320000 3430000 9 -0.0806
"209" "testSample" "chr2" 3440000 3750000 32 -0.626
"210" "testSample" "chr2" 3760000 3810000 6 0.3541
"211" "testSample" "chr2" 3820000 8630000 468 -0.5357
"212" "testSample" "chr2" 8640000 15690000 518 -0.3514
"213" "testSample" "chr2" 15710000 15870000 17 -0.834
"214" "testSample" "chr2" 15920000 16140000 22 -0.1977
"215" "testSample" "chr2" 16150000 18770000 236 -0.6291
"216" "testSample" "chr3" 0 1070000 103 -0.5705
"217" "testSample" "chr3" 1080000 1180000 9 -0.9072
"218" "testSample" "chr3" 1190000 1210000 3 0.3871
"219" "testSample" "chr3" 1220000 6850000 552 -0.5472
"220" "testSample" "chr3" 6860000 6890000 4 0.4173
"221" "testSample" "chr3" 6900000 9480000 241 -0.4987
"222" "testSample" "chr3" 9490000 17620000 603 -0.3081
"223" "testSample" "chr3" 17630000 18480000 79 -0.5666
"224" "testSample" "chr3" 18490000 19050000 48 -0.3187
"225" "testSample" "chr3" 19060000 19330000 27 -0.5971
"226" "testSample" "chr3_random" 0 630000 47 -0.3517
"227" "testSample" "chr3_random" 640000 660000 3 0.9521
"228" "testSample" "chr3_random" 670000 1200000 44 -0.3715
"229" "testSample" "chr4" 0 7280000 717 -0.5425
"230" "testSample" "chr4" 7310000 7490000 12 0.1881
"231" "testSample" "chr4" 7500000 8920000 116 -0.5288
"232" "testSample" "chr4" 8930000 11500000 223 -0.3472
"233" "testSample" "chr4" 11510000 11590000 5 0.8263
"234" "testSample" "chr4" 11610000 13010000 96 -0.3375
"235" "testSample" "chr4" 13020000 13160000 10 0.5797
"236" "testSample" "chr4" 13190000 14610000 111 -0.323
"237" "testSample" "chr4" 14620000 14820000 21 -0.6389
"238" "testSample" "chr4" 14830000 15320000 47 -0.3683
"239" "testSample" "chr4" 15330000 15500000 17 -0.7954
"240" "testSample" "chr4" 15510000 15670000 12 -0.0259
"241" "testSample" "chr4" 15680000 16270000 58 -0.5238
"242" "testSample" "chr4" 16280000 16290000 2 0.8177
"243" "testSample" "chr4" 16300000 19920000 347 -0.5226
"244" "testSample" "chr4" 19930000 19940000 2 1.3205
"245" "testSample" "chr4" 19960000 20890000 93 -0.5485
"246" "testSample" "chr4" 20900000 20960000 7 -0.0612
"247" "testSample" "chr4" 20970000 21080000 10 -0.4848
"248" "testSample" "chr4" 21090000 21160000 8 0.0342
"249" "testSample" "chr4" 21170000 21590000 39 -0.5267
"250" "testSample" "chr4" 21600000 21720000 12 -1.1405
"251" "testSample" "chr4" 21740000 23860000 207 -0.5633
"252" "testSample" "chr4_random" 0 70000 8 -0.7402
"253" "testSample" "chr5" 0 7560000 738 -0.5973
"254" "testSample" "chr5" 7570000 12320000 432 -0.4061
"255" "testSample" "chr5" 12330000 13270000 24 0.2452
"256" "testSample" "chr5" 13280000 13640000 33 -0.219
"257" "testSample" "chr5" 13650000 15840000 185 -0.4816
"258" "testSample" "chr5" 15850000 16300000 34 -0.203
"259" "testSample" "chr5" 16360000 16440000 8 -0.6127
"260" "testSample" "chr5" 16450000 16710000 19 -1.1337
"261" "testSample" "chr5" 16720000 17440000 66 -0.5067
"262" "testSample" "chr5" 17450000 17940000 43 0.2187
"263" "testSample" "chr5" 17950000 18410000 42 -0.5545
"264" "testSample" "chr5" 18420000 18810000 32 -0.1631
"265" "testSample" "chr5" 18840000 21260000 227 -0.5019
"266" "testSample" "chr5" 21270000 21350000 9 -0.0682
"267" "testSample" "chr5" 21370000 21470000 11 0.7951
"268" "testSample" "chr5" 21480000 21850000 36 0.1021
"269" "testSample" "chr5" 21860000 22740000 88 -0.5379
"270" "testSample" "chr5" 22750000 23170000 38 -0.0762
"271" "testSample" "chr5" 23180000 24990000 178 -0.551
"272" "testSample" "chr5_random" 0 360000 33 -0.3404
"273" "testSample" "chr6" 0 9260000 905 -0.3945
"274" "testSample" "chr6" 9270000 15790000 522 -0.2764
"275" "testSample" "chr6" 15800000 16130000 28 0.0936
"276" "testSample" "chr6" 16140000 17010000 78 -0.2817
"277" "testSample" "chr6" 17020000 21500000 424 -0.3671
"278" "testSample" "chr7" 0 640000 62 -0.5344
"279" "testSample" "chr7" 650000 830000 16 -0.1353
"280" "testSample" "chr7" 840000 1510000 67 -0.6013
"281" "testSample" "chr7" 1520000 2150000 64 -0.718
"282" "testSample" "chr7" 2160000 5190000 303 -0.5635
"283" "testSample" "chr7" 5200000 5680000 40 0.0539
"284" "testSample" "chr7" 5690000 8610000 279 -0.5514
"285" "testSample" "chr7" 8630000 9310000 62 -0.1457
"286" "testSample" "chr7" 9320000 12540000 272 -0.5258
"287" "testSample" "chr7" 12570000 12770000 14 0.0534
"288" "testSample" "chr7" 12780000 13300000 37 -0.8985
"289" "testSample" "chr7" 13310000 13700000 38 -0.5674
"290" "testSample" "chr7" 13780000 13860000 7 0.1872
"291" "testSample" "chr7" 13880000 14600000 63 -0.4745
"292" "testSample" "chr7" 14610000 14780000 16 0.4525
"293" "testSample" "chr7" 14790000 21020000 610 -0.5066
"294" "testSample" "chr7_random" 0 1440000 130 -0.2641
"295" "testSample" "chr8" 0 1100000 108 -0.5642
"296" "testSample" "chr8" 1120000 9420000 667 -0.426
"297" "testSample" "chr8" 9430000 15270000 564 -0.5604
"298" "testSample" "chr8" 15280000 15300000 3 0.3479
"299" "testSample" "chr8" 15310000 22380000 702 -0.572
"300" "testSample" "chr9" 0 3460000 334 -0.535
"301" "testSample" "chr9" 3470000 3570000 11 -1.4105
"302" "testSample" "chr9" 3580000 14210000 974 -0.4667
"303" "testSample" "chr9" 14220000 16060000 132 -0.216
"304" "testSample" "chr9" 16070000 16700000 57 -0.5834
"305" "testSample" "chr9" 16710000 17830000 104 -0.3099
"306" "testSample" "chr9" 17840000 21060000 286 -0.5104
"307" "testSample" "chr9" 21070000 21150000 9 0.1949
"308" "testSample" "chr9" 21160000 2.3e+07 172 -0.5501
"309" "testSample" "chr9_random" 0 480000 40 -0.0609
"310" "testSample" "chrUn" 10000 4950000 228 -0.3628
"311" "testSample" "chrUn" 4960000 5420000 32 0.4141
"312" "testSample" "chrUn" 5430000 5480000 5 1.1227
"313" "testSample" "chrUn" 5490000 6890000 47 -0.0147
"314" "testSample" "chrUn" 6900000 7650000 73 -0.5254
"315" "testSample" "chrUn" 7660000 10120000 195 -0.2939
"316" "testSample" "chrUn" 10170000 10230000 7 0.4892
"317" "testSample" "chrUn" 10240000 13500000 257 -0.3103
"318" "testSample" "chrUn" 13510000 14330000 74 -0.5184
"319" "testSample" "chrUn" 14340000 14540000 13 0.4165
"320" "testSample" "chrUn" 14550000 15560000 94 -0.5632
"321" "testSample" "chrUn" 15600000 15810000 17 0.028
"322" "testSample" "chrUn" 15830000 16680000 76 -0.3564
"323" "testSample" "chrUn" 16700000 16960000 20 0.1635
"324" "testSample" "chrUn" 16970000 17340000 36 -0.7372
"325" "testSample" "chrUn" 17350000 23650000 487 -0.34
"326" "testSample" "chrUn" 23660000 23830000 18 -0.755
"327" "testSample" "chrUn" 23840000 2.4e+07 12 0.5546
"328" "testSample" "chrUn" 24010000 43140000 1487 -0.2408
